NAME;LABEL
23.20.20.00;Profiles
23.20.20.11;Rigid Profiles
23.20.20.11.11;Ferrous Metal Rigid Profiles
23.20.20.11.14;Non-Ferrous Metal Rigid Profiles
23.20.20.11.17;Wood Rigid Profiles
23.20.20.11.17.11;Lumber Rigid Profiles
23.20.20.11.17.11.11;Hardwood Rigid Profiles
23.20.20.11.17.11.14;Softwood Rigid Profiles
23.20.20.11.17.11.17;Laminated Rigid Profiles
23.20.20.11.17.14;Heavy Timber Rigid Profiles
23.20.20.11.21;Plastic Rigid Profiles
23.20.20.11.24;Composite Rigid Profiles
23.20.20.14;Flexible Profiles
23.20.20.14.11;Plastic Flexible Profiles
23.20.20.14.14;Rubber Flexible Profiles
23.20.20.14.14.11;Natural Rubber Flexible Profiles
23.20.20.14.14.14;Butyl Flexible Profiles
23.20.20.14.14.17;Neoprene Flexible Profiles
23.20.20.14.14.21;Silicone Flexible Profiles
23.20.20.14.14.24;Polysulfide Flexible Profiles
23.20.20.17;Lath
23.20.20.17.11;Gypsum Lath
23.20.20.17.14;Lead-Lined Lath
23.20.20.17.17;Metal Lath
23.20.20.17.21;Veneer Plaster Base Lath
23.20.20.17.24;Wood Lath
23.20.25.00;Sheets, Boards, and Slabs
23.20.25.11;Thin Flexible Sheets 
23.20.25.11.11;Thin Sheets
23.20.25.11.11.11;Thin Metal Sheets
23.20.25.11.11.14;Thin Wood Sheets
23.20.25.11.11.17;Building Papers
23.20.25.11.11.21;Thin Plastic Sheets
23.20.25.11.11.24;Thin Rubber Sheets
23.20.25.11.14;Textiles
23.20.25.11.17;Mesh for General Use
23.20.25.14;Rigid Sheets, Slabs, Plates
23.20.25.14.11;Solid Sheets
23.20.25.14.11.11;Solid Stone Sheets
23.20.25.14.11.14;Solid Cementitious Sheets
23.20.25.14.11.17;Solid Mineral Sheets
23.20.25.14.11.21;Solid Glass Sheets
23.20.25.14.11.24;Solid Metal Sheets
23.20.25.14.11.27;Solid Wood-Based Sheets
23.20.25.14.11.31;Solid Plastic Sheets
23.20.25.14.14;Hollow Core Sheets
23.20.25.14.14.11;Wood-Based Hollow Core Sheets
23.20.25.14.14.14;Mineral Hollow Core Sheets
23.20.25.14.14.17;Metal Hollow Core Sheets
23.20.25.14.14.21;Plastic Hollow Core Sheets
23.20.25.17;Gratings
23.20.25.21;Blankets, Quilts
23.20.30.00;Blocks and Bricks
23.20.30.11;Blocks
23.20.30.11.11;Concrete Masonry Units
23.20.30.11.11.11;Concrete Block
23.20.30.11.11.14;Exposed Aggregate Concrete Masonry Units
23.20.30.11.11.17;Fluted Concrete Masonry Units
23.20.30.11.11.21;Interlocking Concrete Masonry Units
23.20.30.11.11.24;Molded-Face Concrete Masonry Units
23.20.30.11.11.27;Prefaced Concrete Masonry Units
23.20.30.11.11.31;Preinsulated Concrete Masonry Units
23.20.30.11.11.34;Sound-Absorbing Concrete Masonry Units
23.20.30.11.11.37;Split-Face Concrete Masonry Units
23.20.30.11.14;Calcium Silicate Masonry Units
23.20.30.11.17;Glass Masonry Units
23.20.30.11.21;Adobe Masonry Units
23.20.30.11.24;Clay Masonry Units
23.20.30.11.24.11;Common Brick
23.20.30.11.24.14;Face Brick
23.20.30.11.24.17;Fire Brick
23.20.30.11.24.21;Glazed Brick
23.20.30.11.24.24;Ceramic Glazed Clay Masonry Units
23.20.30.11.24.27;Clay Tile
23.20.30.11.24.31;Structural Clay Tile
23.20.30.11.24.34;Clay Flue Lining
23.20.30.11.24.37;Terra Cotta
23.20.30.14;Masonry Anchorage and Reinforcement
23.20.30.14.11;Masonry Reinforcing
23.20.30.14.11.11;Continuous Joint Reinforcing
23.20.30.14.11.14;Reinforcing Bars
23.20.30.14.14;Masonry Ties
23.20.30.14.14.11;Flexible Masonry Ties
23.20.30.14.14.14;Masonry Veneer Ties
23.20.30.14.14.17;Rigid Masonry Ties
23.20.30.14.17;Masonry Anchors
23.20.30.14.17.11;Masonry Veneer Anchors
23.20.30.14.17.14;Stone Masonry Anchors
23.20.30.17;Special Profiles for Masonry 
23.20.30.17.11;Special Masonry Shapes
23.20.30.17.14;Masonry Sills and Thresholds
23.20.30.17.17;Masonry Moldings
23.20.30.17.21;Masonry Copings
23.20.30.17.24;Masonry Quoins
23.20.30.17.27;Masonry Cornices
23.20.30.21;Structural Support for Masonry
23.20.30.21.11;Lintels
23.20.30.21.11.11;Lintel Former Units
23.20.30.21.14;Wall Connectors and Starters
23.20.30.21.17;Supports for Masonry
23.20.30.21.17.11;Masonry Angles
23.20.30.21.17.11.11;Masonry Shelf Angles
23.20.30.21.17.14;Gussets
23.20.30.24;Ancillary Products for Masonry
23.20.30.24.11;Embedded Flashing
23.20.30.24.14;Cavity Closers
23.20.30.24.17;Cavity Weep and Ventilation Units
23.20.30.24.17.11;Weeps
23.20.30.24.17.14;Cavity Vents
23.20.30.24.17.17;Drainage Material
23.20.30.24.21;Joint Materials
23.20.30.24.21.11;Control Joints
23.20.30.24.21.14;Expansion Joints
23.20.30.24.24;Airbricks
23.20.40.00;Mechanical Fasteners, Adhesives, and Sealants
23.20.40.11;Mechanical Fasteners
23.20.40.11.11;Cast-In Anchorages
23.20.40.11.11.11;Rail Anchors
23.20.40.11.11.14;Screw Cases
23.20.40.11.11.17;Anchor Blocks
23.20.40.11.11.21;Inserts
23.20.40.11.11.21.11;Adjustable Wedge
23.20.40.11.11.21.14;Adjustable Box
23.20.40.11.11.21.17;Threaded
23.20.40.11.11.24;Dovetail Slots
23.20.40.11.14;Multi-Purpose Mechanical Fasteners
23.20.40.11.14.11;Plugs
23.20.40.11.14.14;Staples
23.20.40.11.14.17;Nails
23.20.40.11.14.21;Rivets
23.20.40.11.14.24;Screws
23.20.40.11.14.27;Bolts and Nuts
23.20.40.11.14.31;Threaded Rods and Nuts
23.20.40.11.14.34;Bandings
23.20.40.11.17;Structural Mechanical Fasteners in Hardened Concrete and Masonry
23.20.40.11.17.11;Expansion Anchors
23.20.40.11.17.14;Undercut Anchors
23.20.40.11.17.17;Bonded Anchors
23.20.40.11.21;Mechanical Fasteners for Metal Structures
23.20.40.11.24;Mechanical Fasteners for Wood Structures
23.20.40.11.24.11;Nail Plates
23.20.40.11.24.14;Wood Connectors
23.20.40.11.24.17;Framing Anchors
23.20.14.24;Joint Fillers, Sealants, and Mastics
23.20.14.24.11;Joint Fillers
23.20.14.24.11.11;Backer Rods
23.20.14.24.14;Putties
23.20.14.24.17;Construction Sealants
23.20.14.24.17.11;Elastomeric Construction Sealants
23.20.14.24.17.14;Rigid Construction Sealants
23.20.14.24.17.17;Sanitary Construction Sealants
23.20.14.24.17.21;Chemical-Resistant Construction Sealants
23.20.14.24.17.24;Water-Immersed Construction Sealants
23.20.14.24.21;Preformed Joint Seals
23.20.14.24.21.11;Compression Seals
23.20.14.24.21.14;Joint Gaskets
23.20.14.27;Ropes, Wires, and Cables
23.20.14.27.11;Ropes
23.20.14.27.14;Wires
23.20.14.27.17;Cables
23.20.50.00;Thermal and Moisture Protective Products
23.20.50.11;Fireproofing
23.20.50.11.11;Board Fireproofing
23.20.50.11.11.11;Calcium Silicate Board Fireproofing
23.20.50.11.11.14;Slag FiberBoard Fireproofing
23.20.50.11.14;Blanket Fireproofing
23.20.50.11.14.11;Smoke Containment Barriers
23.20.50.11.17;Fireproofing Coatings
23.20.50.11.17.11;Cement Aggregate Fireproofing
23.20.50.11.17.14;Cementitious Fireproofing
23.20.50.11.17.17;Foamed Magnesium Oxychloride Fireproofing
23.20.50.11.17.21;Intumescent Mastic Fireproofing
23.20.50.11.17.24;Magnesium Cement Fireproofing
23.20.50.11.17.27;Mineral Fiber Cementitious Fireproofing
23.20.50.11.17.31;Miner Fiber Fireproofing
23.20.50.14;Firestopping
23.20.50.14.11;Penetrations Firestopping
23.20.50.14.11.11;Annular Space Protection
23.20.50.14.11.14;Fire Resistant Joint Sealants
23.20.50.14.11.17;Firestopping Foams
23.20.50.14.11.17.11;Intumescent Firestopping Foams
23.20.50.14.11.17.14;Silicone Firestopping Foams
23.20.50.14.11.21;Firestopping Mortars
23.20.50.14.11.24;Firestopping Pillows
23.20.50.14.11.27;Thermal Barriers for Plastics
23.20.50.14.14;Fire-Safing
23.20.50.14.14.11;Fibrous Blankets
23.20.50.14.14.14;Fire-Safing Sealants
23.20.50.14.14.17;Fire-Safing Clip Anchors
23.20.50.17;Dampproofings
23.20.50.17.11;Dampproofing Membranes
23.20.50.17.14;Dampproofing Coatings
23.20.50.17.14.11;Bituminous Dampproofing Coatings
23.20.50.17.14.14;Cementitious Dampproofing Coatings
23.20.50.21;Waterproofing
23.20.50.21.11;Built-Up Bituminous Waterproofing
23.20.50.21.14;Sheet Waterproofing
23.20.50.21.14.11;Bituminous Sheet Waterproofing
23.20.50.21.14.14;Elastomeric Sheet Waterproofing
23.20.50.21.14.17;Modified Bituminous Sheet Waterproofing
23.20.50.21.14.21;Thermoplastic Sheet Waterproofing
23.20.50.21.17;Fluid-Applied Waterproofing
23.20.50.21.17.11;Hot-Applied Rubberized Asphalt
23.20.50.21.21;Sheet Metal Waterproofing
23.20.50.21.24;Cementitious and Reactive Waterproofing
23.20.50.21.24.11;Acrylic Modified Cement Waterproofing
23.20.50.21.24.14;Crystalline Waterproofing
23.20.50.21.24.17;Metal Oxide Waterproofing
23.20.50.21.27;Bentonite Waterproofing
23.20.50.21.27.11;Bentonite Panel Waterproofing
23.20.50.21.27.14;Bentonite Sheet Waterproofing
23.20.50.21.31;Waterproof Traffic Coatings
23.20.50.21.31.11;Pedestrian Waterproof Traffic Coatings
23.20.50.21.31.14;Vehicular Waterproof Traffic Coatings
23.20.50.24;Thermal Insulation
23.20.50.24.11;Slab and Board Thermal Insulation
23.20.50.24.11.11;Polystyrene Slab and Board Thermal Insulation
23.20.50.24.11.11.11;Expanded Polystyrene Slab and Board Thermal Insulation
23.20.50.24.11.11.14;Extruded Polystyrene Slab and Board Thermal Insulation
23.20.50.24.11.14;Urethane Slab and Board Thermal Insulation
23.20.50.24.11.17;Perlite Slab and Board Thermal Insulation
23.20.50.24.11.21;Fiberglass Slab and Board Thermal Insulation
23.20.50.24.14;Blanket Thermal Insulation
23.20.50.24.14.11;Fiberglass Blanket Thermal Insulation
23.20.50.24.14.14;Rock Wool Blanket Thermal Insulation
23.20.50.24.17;Thermal Insulation Coatings
23.20.50.24.17.11;Sprayed Thermal Insulation Coatings
23.20.50.24.17.11.11;Sprayed Cellulose Thermal Insulation Coatings
23.20.50.24.21;Loose Fill Thermal Insulation
23.20.50.24.21.11;Granular Fill Thermal Insulation
23.20.50.27;Sound Isolation Insulation
23.20.50.27.11;Slab and Board Sound Isolation Insulation
23.20.50.27.14;Fiberglass Slab and Board Sound Isolation Insulation
23.20.50.27.17;Blanket Sound Isolation Insulation
23.20.50.27.17.11;Fiberglass Blanket Sound Isolation Insulation
23.20.50.27.17.14;Rock Wool Blanket Sound Isolation Insulation
23.20.50.27.21;Sound Isolation Coatings
23.20.50.27.24;Sound Isolation Loose Fills
23.20.50.27.24.11;Granular Sound Isolation Loose Fills
23.25.00.00;Structural and Space Division Products
23.25.05.00;Foundations
23.25.05.11;Foundation Piles
23.25.05.11.11;Foundation Pile Components
23.25.05.11.11.11;Pile Casings (Linings)
23.25.05.11.11.14;Cores and Mandrels
23.25.05.11.11.17;Pile Extension Pieces
23.25.05.11.11.21;Pile Shoes
23.25.05.11.11.24;Pile Splices
23.25.05.11.11.27;Pile Caps
23.25.05.11.14;Driven Piles
23.25.05.11.14.11;Composite Driven Piles
23.25.05.11.14.14;Concrete-Filled Steel Driven Piles
23.25.05.11.14.17;Precast Concrete Driven Piles
23.25.05.11.14.21;Rolled Steel Section Driven Piles
23.25.05.11.14.24;Unfilled Tubular Steel Driven Piles
23.25.05.11.14.27;Wood Driven Piles
23.25.05.11.14.31;Sheet Driven Piles
23.25.05.11.17;Screw Piles
23.25.05.14;Caissons, Foundation Casings
23.25.05.14.11;Well Foundation Casings
23.25.05.14.14;Caissons
23.25.05.17;Shallow Foundations
23.25.05.17.11;Column Bases
23.25.05.17.14;Grade Beams
23.25.05.17.17;Strip Foundation Blocks
23.25.05.21;Special Foundations
23.25.05.21.11;Controlled Modulus Columns
23.25.05.21.14;Other Special Foundations
23.25.10.00;Structural Concrete Products
23.25.10.11;Structural Concrete
23.25.10.14;Ready Mixed Concrete 
23.25.10.17;Permanent Formwork
23.25.10.17.11;Structural Permanent Formwork
23.25.10.17.11.11;Permanent Steel Forms
23.25.10.17.11.14;Prefabricated Stair Forms
23.25.10.21;Non-Structural Permanent Formwork
23.25.10.24;Concrete Forms
23.25.10.27;Reinforcement and Prestressing Components
23.25.10.27.11;Reinforcement Components
23.25.10.27.11.11;Reinforcing Steel
23.25.10.27.11.14;Reinforcement Steel Mesh
23.25.10.27.11.14.11;Welded Wire Fabric
23.25.10.27.11.17;Fibrous Reinforcing
23.25.10.27.11.17.11;Steel Fibrous Reinforcing
23.25.10.27.11.17.14;Synthetic Fibrous Reinforcing
23.25.10.27.11.21;Reinforcement Couplers
23.25.10.27.11.24;Reinforcement Spacers
23.25.10.27.11.27;Reinforcement Accessories
23.25.10.27.14;Prestressing Components
23.25.10.27.14.11;Stressing Tendons
23.25.10.27.14.11.11;Steel Stressing Tendons
23.25.10.27.14.11.11.11;Steel Strand Stressing Tendons
23.25.10.27.14.11.11.14;Steel Wire Stressing Tendons
23.25.10.27.14.11.11.17;Steel Bar Stressing Tendons
23.25.10.27.14.11.14;Glass Fiber
23.25.10.27.14.14;Steel Bars
23.25.10.27.14.17;Glass Fiber Tendons
23.25.10.27.14.21;Prestressing Couplers
23.25.10.27.14.24;Tendon Sheathing
23.25.10.27.14.24.11;Tendon Sheathing Ducts
23.25.10.27.14.27;Prestressing Anchorages
23.25.10.27.17;Post-Tensioning Products
23.25.10.27.21;Complete Reinforcement Cages
23.25.10.27.24;Cast-In Jointing
23.25.10.27.24.11;Expansion and Contraction Joints
23.25.10.27.24.14;Waterstops
23.25.20.00;Envelope Enclosure Products
23.25.20.11;Infill Faзades
23.25.20.11.11;Exterior Wall Assemblies
23.25.20.14;Glazed Faзade and Roof Structures
23.25.20.14.11;Curtain Walls
23.25.20.14.11.11;Curtain Wall Components
23.25.20.14.11.11.11;Curtain Wall Frames
23.25.20.14.11.11.14;Curtain Wall Sections
23.25.20.14.11.11.17;Infill Panels
23.25.20.14.11.14;Metal-Framed Curtain Wall
23.25.20.14.11.17;Translucent Wall Assemblies
23.25.20.14.14;Structural Glazing
23.25.20.14.14.11;Structural Glass Curtain Walls
23.25.20.14.17;Suspended Glazing
23.25.20.14.21;Patent Glazing  
23.25.20.14.24;Screen and Storm Doors
23.25.20.14.24.11;Metal Screen and Storm Doors
23.25.20.14.24.14;Wood and Plastic Screen and Storm Doors
23.25.20.14.27;Glazed Roof Structures
23.25.20.14.27.11;Sections for Glazed Roofs
23.25.20.14.27.14;Sloped Glazing Assemblies
23.25.20.14.27.17;Translucent Roof Assemblies
23.25.30.00;Structural Framing Products
23.25.30.11;Structural Frames
23.25.30.11.11;Beam-Column Frames
23.25.30.11.14;Column-Slab Frames
23.25.30.11.14.11;Columns
23.25.30.11.14.14;Beams
23.25.30.11.17;Portal Frames
23.25.30.11.21;Structural Racking
23.25.30.11.24;Structural Bearings
23.25.30.11.24.11;Roller Bearings
23.25.30.11.24.14;Slide Bearings
23.25.30.11.24.17;Rocker Bearings
23.25.30.11.24.21;Fixed Bearings
23.25.30.11.27;Vibration and Earthquake Controls
23.25.30.14;Space Frames
23.25.30.14.11;Booms, Braces
23.25.30.14.14;Couplers
23.25.30.14.17;Complete Space Frames
23.25.30.17;Geodesic Structures
23.25.30.21;Rafters, Beams, and Joists
23.25.30.21.11;Rafters, Trussed
23.25.30.21.14;Trussed Beams and Joists
23.25.30.21.14.11;Metal Joists
23.25.30.21.14.14;Composite Joist Assemblies
23.25.30.21.14.17;Metal-Web Wood Joists
23.25.30.21.14.21;Wood Trusses
23.25.30.21.14.24;Metal Trusses
23.25.30.21.17;Web Beams and Joists
23.25.30.21.17.11;Wood I Joists
23.25.30.24;Structural Walls
23.25.30.24.11;Concrete Structural Walls
23.25.30.24.14;Masonry Structural Walls
23.25.30.24.17;Wood Framed Structural Walls
23.25.30.24.21;Metal Framed Structural Walls
23.25.30.24.24;Structural Panels
23.25.30.24.24.11;Cementitious Reinforced Structural Panels
23.25.30.24.24.14;Stressed Skin Structural Panels
23.25.30.24.24.17;Structural Insulated Panels 
23.25.30.24.99;Other Structural Walls
23.25.30.27;Structural Floors and Flat Roofs
23.25.30.27.11;Structural Floor Decks
23.25.30.27.11.11;Concrete Structural Floor Decks
23.25.30.27.11.14;Metal Structural Floor Decks
23.25.30.27.11.14.11;Raceway Deck Systems
23.25.30.27.11.14.14;Acoustical Metal Floor Deck
23.25.30.27.11.17;Wood Floor Decking
23.25.30.27.14;Structural Roof Decks
23.25.30.27.14.11;Concrete Structural Roof Decks
23.25.30.27.14.14;Metal Structural Roof Decks
23.25.30.27.14.14.11;Acoustical Metal Roof Deck
23.25.30.27.14.17;Wood Roof Decking
23.25.30.27.17;Structural Grating Floors
23.25.30.27.21;Balconies and Overhang Units
23.25.30.27.21.11;Balcony Components
23.25.30.27.21.11.11;Balcony Holders and Mechanical Fasteners
23.25.30.27.21.14;Concrete Balconies and Overhang Units
23.25.30.27.21.17;Metal Balconies and Overhang Units
23.25.30.27.21.21;Wood Balconies and Overhang Units
23.25.30.31;Structural Profiled Roofs
23.25.30.31.11;Prefabricated Shell Roofs
23.25.40.00;Space Division Products
23.25.40.11;Fixed Partitions
23.25.40.11.11;Gypsum Board Fixed Partitions
23.25.40.11.11.11;Metal-Framed Gypsum Board Fixed Partitions
23.25.40.11.11.14;Wood-Framed Gypsum Board Fixed Partitions
23.25.40.11.14;Plaster Fixed Partitions
23.25.40.11.14.11;Gypsum Plaster Fixed Partitions
23.25.40.11.14.14;Portland Cement Plaster Fixed Partitions
23.25.40.11.14.17;Metal-Framed Plaster Fixed Partitions
23.25.40.11.14.21;Wood-Framed Plaster Fixed Partitions
23.25.40.11.17;Masonry Fixed Partitions
23.25.40.14;Demountable Partitions
23.25.40.14.11;General Demountable Partitions
23.25.40.14.11.11;Demountable Partitions Component
23.25.40.14.11.11.11;Partition Frames
23.25.40.14.11.11.14;Partition Infill Panels
23.25.40.14.11.11.17;Mechanical Fasteners for Partitions
23.25.40.14.11.14;Gypsum Board Demountable Partitions
23.25.40.14.11.17;Metal Demountable Partitions
23.25.40.14.11.21;Wood Demountable Partitions
23.25.40.14.14;Sanitary Partitions and Cubicles
23.25.40.14.14.11;Toilet Compartments and Urinal Screens
23.25.40.14.14.11.11;Metal Toilet Compartments and Urinal Screens
23.25.40.14.14.11.14;Plastic Laminate Toilet Compartments and Urinal Screens
23.25.40.14.14.11.17;Plastic Toilet Compartments and Urinal Screens
23.25.40.14.14.11.21;Particleboard Toilet Compartments and Urinal Screens
23.25.40.14.14.11.24;Stone Toilet Compartments and Urinal Screens
23.25.40.14.14.14;Shower and Dressing Compartments
23.25.40.14.14.14.11;Metal Shower and Dressing Compartments
23.25.40.14.14.14.14;Plastic Laminate Shower and Dressing Compartments
23.25.40.14.14.14.17;Plastic Shower and Dressing Compartments
23.25.40.14.14.14.21;Particleboard Shower and Dressing Compartments
23.25.40.14.14.14.24;Stone Shower and Dressing Compartments
23.25.40.14.14.17;Cubicles
23.25.40.14.14.17.11;Cubicle Curtains
23.25.40.14.14.17.14;Cubicle Track and Hardware
23.25.40.14.17;Storage Wall Partitions and Compartments
23.25.40.14.17.11;Wire Mesh Partitions
23.25.40.17;Operable Partitions
23.25.40.17.11;Horizontally Sliding Partitions
23.25.40.17.14;Folding Panel Partitions
23.25.40.17.17;Accordion Folding Partitions
23.25.40.17.21;Coiling Partitions
23.25.40.17.24;Vertically Sliding Room Dividers
23.25.40.21;Fences
23.25.40.21.11;Fence Components
23.25.40.21.11.11;Fence Posts
23.25.40.21.11.14;Fencing Fabric
23.25.40.21.11.17;Fence Accessories
23.25.40.21.14;Fences by Material
23.25.40.21.14.11;Wood Fences
23.25.40.21.14.14;Metal Fences
23.25.40.21.14.17;Plastic Fences
23.25.40.21.14.21;Composite Fences
23.25.40.21.17;Fences by Type
23.25.40.21.17.11;Chain Link Fences
23.25.40.21.17.14;Wire Fences
23.25.40.21.17.17;Ornamental Fences
23.25.40.21.17.21;Post and Rail Fences
23.25.40.21.17.24;Panel Fences
23.25.40.21.21;Gates
23.25.40.21.21.11;Swinging Gates
23.25.40.21.21.14;Sliding Gates
23.25.40.21.24;Turnstiles
23.25.40.21.27;Portable Post and Railing Barriers
23.30.00.00;Openings, Passages, Protection
23.30.10.00;Doors
23.30.10.11;Door Components
23.30.10.11.11;Door Frames
23.30.10.11.14;Door
23.30.10.11.17;Preassembled Door and Frame Units
23.30.10.11.21;Fanlights
23.30.10.11.24;Door Sections
23.30.10.11.24.11;Structural Door Sections
23.30.10.11.24.14;Door Cladding Sections
23.30.10.11.27;Door Linings and Boards
23.30.10.11.31;Door Renovation Sets
23.30.10.11.34;Door Accessories
23.30.10.11.34.11;Peep Holes
23.30.10.11.34.14;Buffers and Stops
23.30.10.11.34.17;Mail Openings and Slots
23.30.10.11.34.21;Door Louvers and Lights
23.30.10.14;Passage Doors by Material
23.30.10.14.11;Metal Passage Doors
23.30.10.14.14;Wood Passage Doors
23.30.10.14.17;Plastic Passage Doors
23.30.10.14.21;Composite Passage Doors
23.30.10.14.24;Glazed Passage Doors
23.30.10.14.27;All-Glass Passage Doors
23.30.10.17;Doors and Grills by Method of Operation
23.30.10.17.11;Sliding Doors
23.30.10.17.14;Sliding Grills
23.30.10.17.17;Folding Doors and Grilles
23.30.10.17.17.11;Accordion Folding Doors
23.30.10.17.17.14;Accordion Folding Grilles
23.30.10.17.17.17;Folding Fire Doors
23.30.10.17.17.21;Panel Folding Doors
23.30.10.17.17.24;Bifold Doors
23.30.10.17.21;Revolving Doors
23.30.10.17.24;Balanced Doors
23.30.10.17.27;Coiling Doors
23.30.10.17.27.11;Overhead Coiling
23.30.10.17.27.14;Side Coiling
23.30.10.17.31;Vertical Lift Doors
23.30.10.17.31.11;Multi-Leaf Vertical Lift Doors
23.30.10.17.31.14;Telescoping Vertical Lift Doors
23.30.10.17.34;Telescopic Stacking Doors
23.30.10.17.37;Overhead Doors
23.30.10.17.37.11;Single-Panel Overhead Doors
